"Make.Model","Continent","MPG_City","MPG_Hwy","Horsepower","Weight","Length","Width","Seating","Cylinders","Displacement","Make","Transmission"
"Acura_RL","As",18,24,225,3.898,196.6,71.6,5,6,3.5,"Acura","automatic"
"Acura_TL","As",20,28,270,3.575,189.3,72.2,5,6,3.2,"Acura","automatic"
"Acura_TSX","As",23,32,200,3.318,183.3,69.4,5,4,2.4,"Acura","automatic"
"Acura_RSX","As",25,34,160,2.771,172.2,67.9,4,4,2,"Acura","automatic"
"Acura_NSX","As",17,24,252,3.197,174.2,71.3,2,6,3,"Acura","automatic"
"Acura_MDX","As",17,23,265,4.451,188.7,77,7,6,3.5,"Acura","automatic"
"Audi_A4_Quattro","E",20,28,170,3.55,179,76.3,5,4,1.8,"Audi","automatic"
"Audi_A6_Quattro","E",18,25,220,3.88,192,76.1,5,6,3,"Audi","automatic"
"Audi_A8","E",17,24,330,4.399,204,74.6,5,6,4.2,"Audi","automatic"
"Audi_Allroad_Quattro","E",16,22,250,4.244,189.4,76.1,5,6,2.7,"Audi","automatic"
"Audi_S4","E",18,24,340,3.925,179,69.5,5,8,4.2,"Audi","automatic"
"Audi_TT","E",20,28,180,3.131,159.1,73.1,2,4,1.8,"Audi","automatic"
"BMW_325i","E",19,27,184,3.307,176,68.5,5,6,2.5,"BMW","automatic"
"BMW_525i","E",19,28,184,3.45,190.6,72.7,5,6,2.5,"BMW","automatic"
"BMW_745i","E",18,26,325,4.376,198,74.8,5,8,4.4,"BMW","automatic"
"BMW_M3","E",16,24,333,3.415,176.8,70.1,5,6,3.2,"BMW","manual"
"BMW_X3","E",17,23,184,4.045,179.7,73,5,6,2.5,"BMW","automatic"
"BMW_X5","E",16,21,225,4.696,183.7,73.7,5,6,3,"BMW","automatic"
"BMW_Z4","E",21,28,184,2.998,161.1,70.1,2,6,2.5,"BMW","automatic"
"Buick_Century","Am",20,30,175,3.342,194.6,72.7,6,6,3.1,"Buick","automatic"
"Buick_LeSabre","Am",20,29,205,3.567,200,73.5,5,6,3.8,"Buick","automatic"
"Buick_ParkAvenue","Am",20,29,205,3.778,206.8,74.7,5,6,3.8,"Buick","automatic"
"Buick_RainierCXL","Am",16,21,275,4.442,191.8,75.4,5,6,4.2,"Buick","automatic"
"Buick_Regal","Am",20,30,200,3.418,196.2,72.7,5,6,3.8,"Buick","automatic"
"Buick_Rendevous","Am",19,26,185,4.096,186.5,73.6,5,6,3.4,"Buick","automatic"
"Cadillac_CTS","Am",18,25,220,3.568,190.1,70.6,5,6,3.2,"Cadillac","automatic"
"Cadillac_Deville","Am",18,26,275,3.978,207.2,74.5,6,8,4.6,"Cadillac","automatic"
"Cadillac_Escalade","Am",14,18,295,5.367,198.9,78.9,7,8,5.3,"Cadillac","automatic"
"Cadillac_EscaladeESV","Am",13,17,345,5.82,221.4,79.5,7,8,6,"Cadillac","automatic"
"Cadillac_Seville","Am",18,26,275,3.969,201,74.7,5,8,4.6,"Cadillac","automatic"
"Cadillac_SRX","Am",16,23,260,4.225,194.9,72.6,5,6,3.6,"Cadillac","automatic"
"Cadillac_XLR","Am",17,25,320,3.647,177.7,72.3,2,8,4.6,"Cadillac","automatic"
"Chevrolet_Astro","Am",16,20,190,4.323,189.8,77.5,7,6,4.3,"Chevrolet","automatic"
"Chevrolet_Avalanche","Am",15,20,295,5.478,221.6,79.8,6,8,5.3,"Chevrolet","automatic"
"Chevrolet_Aveo","Am",26,34,103,2.464,166.7,65.7,5,4,1.6,"Chevrolet","automatic"
"Chevrolet_Blazer","Am",16,21,190,3.591,176.8,67.8,5,6,4.3,"Chevrolet","automatic"
"Chevrolet_Cavalier","Am",24,34,140,2.676,180.9,67.9,5,4,2.2,"Chevrolet","automatic"
"Chevrolet_Corvette","Am",18,25,350,3.214,179.7,73.6,2,8,5.7,"Chevrolet","automatic"
"Chevrolet_Express","Am",15,20,195,5.295,224.1,79.4,8,6,4.3,"Chevrolet","automatic"
"Chevrolet_Impala","Am",21,32,180,3.465,200,73,5,6,3.4,"Chevrolet","automatic"
"Chevrolet_Malibu","Am",24,34,145,3.174,188.3,69.9,5,4,2.2,"Chevrolet","automatic"
"Chevrolet_MonteCarlo","Am",20,30,200,3.395,197.9,72.3,5,6,3.8,"Chevrolet","automatic"
"Chevrolet_Suburban","Am",15,20,295,5.323,219.3,78.9,8,8,5.3,"Chevrolet","automatic"
"Chevrolet_Tahoe","Am",16,19,285,5.037,198.8,78.8,8,8,4.8,"Chevrolet","automatic"
"Chevrolet_Tracker","Am",19,22,165,2.866,162.6,67.3,5,6,2.5,"Chevrolet","automatic"
"Chevrolet_TrailBlazer","Am",16,21,275,4.425,191.8,74.7,8,6,4.2,"Chevrolet","automatic"
"Chevrolet_Venture","Am",19,26,185,3.699,186.9,72,7,6,3.4,"Chevrolet","automatic"
"Chrysler_300M","Am",18,27,250,3.581,197.8,74.4,5,6,3.5,"Chrysler","automatic"
"Chrysler_Concorde","Am",19,27,250,3.567,207.7,74.4,5,6,3.5,"Chrysler","automatic"
"Chrysler_Crossfire","Am",21,28,215,3.084,159.8,69.5,2,6,3.2,"Chrysler","automatic"
"Chrysler_Pacifica","Am",17,23,250,4.43,198.9,79.3,6,6,3.5,"Chrysler","automatic"
"Chrysler_PTCruiser","Am",21,26,150,3.039,168.8,67.1,5,4,2.4,"Chrysler","automatic"
"Chrysler_Sebring","Am",22,30,150,3.273,190.7,70.6,5,4,2.4,"Chrysler","automatic"
"Chrysler_Town&Country","Am",19,26,180,3.988,189.3,78.6,7,6,3.3,"Chrysler","automatic"
"Dodge_CaravanSE","Am",20,26,150,3.862,189.3,78.6,7,4,2.4,"Dodge","automatic"
"Dodge_DurangoSLT","Am",16,21,215,4.765,200.8,71.3,7,6,3.7,"Dodge","automatic"
"Dodge_IntrepidSE","Am",21,29,200,3.469,203.7,74.7,5,6,2.7,"Dodge","automatic"
"Dodge_Neon","Am",25,32,132,2.635,174.8,67.4,5,4,2,"Dodge","automatic"
"Dodge_SRT-4","Am",22,30,220,2.97,175.7,67.4,5,4,2.4,"Dodge","manual"
"Dodge_StratusSXT","Am",22,30,150,3.245,191.2,70.6,5,4,2.4,"Dodge","automatic"
"Ford_Crown_Victoria_LXSport","Am",17,25,239,4.057,212,78.2,5,8,4.6,"Ford","automatic"
"Ford_ExplorerXLS","Am",16,21,210,4.304,189.5,72.1,5,6,4,"Ford","automatic"
"Ford_Expedition_XLT","Am",15,19,232,5.218,205.8,78.7,8,8,4.6,"Ford","automatic"
"Ford_FocusZTS","Am",24,30,144,2.606,168.1,66.9,5,4,2.3,"Ford","automatic"
"Ford_Freestar_WagonSE","Am",17,23,193,4.275,201,76.6,7,6,3.9,"Ford","automatic"
"Ford_Mustang","Am",19,27,190,3.29,183.2,73.1,4,6,3.8,"Ford","automatic"
"Ford_TaurusLX","Am",20,27,155,3.306,197.6,73,6,6,3,"Ford","automatic"
"Ford_Thunderbird","Am",17,23,280,3.863,186.3,72,2,8,3.9,"Ford","automatic"
"GMC_Envoy","Am",16,21,275,4.432,191.6,74.7,5,6,4.2,"GMC","automatic"
"GMC_Safari","Am",16,20,190,4.605,189.8,77.5,7,6,4.3,"GMC","automatic"
"GMC_Savana","Am",15,20,285,5.245,224.1,79.4,8,8,5.3,"GMC","automatic"
"GMC_Yukon","Am",16,19,285,5.037,198.9,78.9,8,8,4.8,"GMC","automatic"
