"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","TD","Sl_no"
"10176",50,"admin.","married","university.degree","unknown","yes","no","telephone","jun","thu",6,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no",10176
"32329",35,"blue-collar","single","basic.9y","no","no","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"yes",32329
"38026",27,"admin.","single","university.degree","no","no","no","cellular","sep","wed",1,999,0,"nonexistent",-3.4,92.379,-29.8,0.781,5017.5,"yes",38026
"21580",29,"admin.","single","university.degree","no","no","yes","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no",21580
"28888",37,"blue-collar","single","professional.course","no","no","no","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",28888
"17045",52,"blue-collar","married","basic.9y","unknown","no","no","telephone","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",17045
"37190",24,"student","single","high.school","no","no","no","cellular","aug","thu",1,999,0,"nonexistent",-2.9,92.201,-31.4,0.883,5076.2,"yes",37190
"37184",52,"retired","divorced","university.degree","no","no","no","cellular","aug","thu",1,15,1,"success",-2.9,92.201,-31.4,0.883,5076.2,"yes",37184
"9455",30,"admin.","married","university.degree","no","no","no","telephone","jun","fri",1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no",9455
"12257",39,"admin.","single","high.school","no","no","no","telephone","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.966,5228.1,"no",12257
"9216",32,"blue-collar","married","basic.6y","no","no","no","telephone","jun","fri",2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"yes",9216
"3001",35,"technician","married","professional.course","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no",3001
"30324",60,"admin.","married","professional.course","no","yes","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.365,5099.1,"yes",30324
"30499",27,"management","single","university.degree","no","no","no","cellular","may","mon",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"no",30499
"29989",54,"management","married","university.degree","no","yes","no","cellular","apr","tue",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",29989
"30046",52,"blue-collar","married","basic.4y","no","yes","no","cellular","apr","wed",5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",30046
"32131",33,"blue-collar","married","high.school","no","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no",32131
"37840",48,"management","married","university.degree","unknown","yes","no","cellular","aug","fri",3,999,1,"failure",-2.9,92.201,-31.4,0.825,5076.2,"no",37840
"29024",54,"retired","married","basic.4y","no","yes","no","cellular","apr","fri",3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",29024
"27709",28,"technician","single","university.degree","no","yes","no","cellular","mar","mon",3,999,0,"nonexistent",-1.8,92.843,-50,1.811,5099.1,"yes",27709
"37900",28,"management","single","university.degree","no","yes","no","cellular","sep","tue",1,999,0,"nonexistent",-3.4,92.379,-29.8,0.819,5017.5,"no",37900
"19061",53,"blue-collar","married","basic.4y","unknown","yes","no","telephone","aug","tue",4,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"yes",19061
"37010",37,"admin.","married","university.degree","no","yes","no","cellular","jul","mon",2,999,0,"nonexistent",-2.9,92.469,-33.6,1.048,5076.2,"yes",37010
"510",47,"blue-collar","married","high.school","unknown","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",510
"28634",26,"blue-collar","married","basic.9y","no","yes","yes","cellular","apr","thu",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"yes",28634
"36995",33,"admin.","single","university.degree","no","no","no","cellular","jul","fri",1,999,0,"nonexistent",-2.9,92.469,-33.6,1.059,5076.2,"yes",36995
"40129",22,"services","single","professional.course","no","no","no","cellular","jul","tue",3,999,1,"failure",-1.7,94.215,-40.3,0.835,4991.6,"yes",40129
"5951",48,"blue-collar","married","professional.course","no","yes","yes","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",5951
"40511",34,"technician","single","basic.9y","no","no","no","cellular","aug","mon",3,6,3,"success",-1.7,94.027,-38.3,0.896,4991.6,"yes",40511
"9222",44,"technician","married","professional.course","unknown","no","no","telephone","jun","fri",1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no",9222
"6119",43,"blue-collar","married","high.school","unknown","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",6119
"37220",75,"retired","married","basic.4y","no","no","yes","cellular","aug","fri",1,999,0,"nonexistent",-2.9,92.201,-31.4,0.881,5076.2,"yes",37220
"28570",60,"housemaid","married","basic.4y","no","no","no","cellular","apr","wed",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.415,5099.1,"no",28570
"16981",22,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",16981
"18607",54,"admin.","married","university.degree","unknown","yes","no","cellular","jul","thu",3,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no",18607
"23202",47,"admin.","married","university.degree","no","yes","no","cellular","aug","tue",5,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",23202
"39197",41,"admin.","divorced","university.degree","no","yes","no","cellular","mar","fri",2,6,3,"success",-1.8,93.369,-34.8,0.653,5008.7,"yes",39197
"39890",28,"management","single","university.degree","no","yes","no","cellular","jun","thu",1,999,0,"nonexistent",-1.7,94.055,-39.8,0.729,4991.6,"yes",39890
"17452",40,"blue-collar","married","professional.course","no","yes","yes","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",17452
"39912",36,"admin.","single","university.degree","no","no","no","cellular","jun","wed",1,7,1,"success",-1.7,94.055,-39.8,0.739,4991.6,"yes",39912
"39258",33,"admin.","married","university.degree","no","no","no","cellular","mar","fri",2,999,3,"failure",-1.8,93.369,-34.8,0.649,5008.7,"no",39258
"35451",38,"admin.","single","university.degree","no","yes","yes","telephone","may","mon",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no",35451
"24309",51,"management","married","university.degree","no","yes","no","cellular","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no",24309
"30569",57,"self-employed","married","university.degree","no","yes","no","cellular","may","mon",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",30569
"15543",39,"blue-collar","single","basic.4y","unknown","no","no","cellular","jul","fri",7,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no",15543
"25020",29,"technician","single","high.school","no","no","yes","cellular","nov","tue",2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no",25020
"23133",50,"blue-collar","married","basic.4y","unknown","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",23133
"37703",33,"admin.","single","university.degree","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",-2.9,92.201,-31.4,0.854,5076.2,"yes",37703
"28168",34,"blue-collar","married","basic.9y","unknown","yes","no","telephone","apr","mon",2,5,1,"success",-1.8,93.075,-47.1,1.466,5099.1,"yes",28168
"31632",60,"admin.","single","university.degree","no","no","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no",31632
"33173",35,"technician","married","basic.9y","no","no","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"yes",33173
"20372",52,"housemaid","married","basic.6y","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes",20372
"25391",32,"blue-collar","married","basic.9y","no","yes","no","cellular","nov","tue",2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no",25391
"27592",30,"technician","single","university.degree","no","no","no","cellular","nov","fri",2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no",27592
"38149",61,"retired","married","high.school","no","yes","no","cellular","sep","wed",1,3,1,"success",-3.4,92.379,-29.8,0.753,5017.5,"yes",38149
"9407",35,"technician","married","professional.course","unknown","yes","no","telephone","jun","fri",2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no",9407
"3405",30,"technician","single","professional.course","no","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",3405
"39405",35,"admin.","divorced","high.school","no","yes","yes","telephone","apr","thu",1,999,0,"nonexistent",-1.8,93.749,-34.6,0.635,5008.7,"yes",39405
"30312",48,"unemployed","single","basic.9y","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"yes",30312
"26004",34,"services","married","high.school","no","no","no","cellular","nov","wed",3,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no",26004
"4909",26,"admin.","married","basic.9y","no","yes","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no",4909
"38591",39,"technician","single","university.degree","unknown","yes","no","cellular","oct","fri",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.72,5017.5,"yes",38591
"36812",29,"admin.","single","high.school","no","yes","no","cellular","jun","mon",1,3,1,"success",-2.9,92.963,-40.8,1.26,5076.2,"yes",36812
"16079",56,"blue-collar","married","basic.4y","unknown","no","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes",16079
"36630",29,"technician","single","university.degree","no","no","no","cellular","jun","thu",3,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"no",36630
"37143",59,"admin.","married","high.school","no","yes","no","cellular","aug","wed",2,2,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"yes",37143
"2712",38,"technician","single","university.degree","no","no","no","telephone","may","wed",3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no",2712
"2744",45,"blue-collar","married","basic.9y","unknown","no","yes","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no",2744
"21883",29,"admin.","single","university.degree","no","yes","no","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes",21883
"6061",39,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",6061
"3617",24,"services","married","high.school","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no",3617
